,hormaechei-steigerwaltii-1,roggenkampii,hormaechei-hoffmannii-1,unchar-1,ludwigii,hormaechei-xiangfangensis,asburiae,kobei,cloacae,hormaechei-oharae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-3,unchar-2,hormaechei-hormaechei,unchar-3,bugandensis,cancerogenous,unchar-4,hormaechei-hoffmannii-2
Ebacter_C120317,0.0,0.0,0.1423423216462278,0.9381391976539591,0.0,0.09804765414622223,0.007668000315839685,0.024224691238893835,0.06449317769470952,0.0,0.0,0.043553664561423955,0.0,0.3575974491164636,0.49307304857179773,0.008876186330487814,0.0,0.0,0.0
Ebacter_C9181,0.9091787785938628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9202794126179777,0.0,0.9436618087173803,0.9253845473055985,0.0,0.0,0.0,0.0,0.0,0.009380065149524415,0.0
Ebacter_C42390,0.0,0.0,0.006992195446834042,1.0026671911573946,0.01242451637841225,0.0,0.0,0.007210214315946373,0.0,0.0,0.00429197455866279,0.0,0.0,0.18083110390164955,0.0,0.009684590845021603,0.0,0.0,0.0
Ebacter_C99925,0.0,0.034044770928185024,0.0003843750283565322,0.04961539553133405,0.0,0.25811949096898135,0.012260098743463803,0.22361743470795217,0.0,0.010580495618046689,0.0,0.8766922170997292,0.0,0.0,0.0,0.0,0.0,0.0,0.03367094669032879
Ebacter_C82520,0.0,0.02853426391988429,0.0,0.0,0.0,0.020136905040005728,0.1812515301562363,0.0,0.0,0.40108862626253233,0.05253037783740803,0.8237170438550396,0.0,0.0,0.6736269768969805,0.0,0.0,0.1925405884502367,0.0
Ebacter_C15216,0.0004242280539422601,0.0,0.0,0.0,0.0,0.05129323334230714,0.0,0.0,0.0,0.0,0.09131735968682028,0.0,0.07416844675082145,0.05672070026299252,0.06338842491954437,0.0,0.0,0.3502214272297806,0.31489972011934425
Ebacter_C55054,0.0,0.0,0.0,0.0,0.9936838362034892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8853668861366208,0.0,0.0
Ebacter_C29676,0.0,0.302199729157007,0.8131045358492177,0.24369632425613189,0.038126833470969755,0.012603659995964906,0.31954955696650894,0.33673441120420805,0.29772418895334135,0.7809782016080016,0.32556040933326236,0.6888493988226324,0.1529666464257615,0.8015109939496232,0.9000192413079882,0.0,0.0,1.2440908258735723,0.3126619830833346
Ebacter_C31902,0.8493833259446446,0.9224684869836859,0.9174424103412903,0.004797650117729138,0.9616483012866538,0.8709922144258494,0.9000324697709208,0.9321105200695473,0.9257617629428141,0.9424039239875209,0.8605653729392951,0.9089561864806482,0.07850957810710288,0.9655004917042379,0.10523614545216874,0.933488666601182,0.9284138399379781,0.15525383050217922,0.8417580107062179
Ebacter_C93002,0.0,0.7106815286505272,0.0,0.008695431549642118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebacter_C31754,0.25253043660970764,0.9744552457740224,0.005452343282496724,0.0,0.9903701893146605,0.0,0.9777592402706874,0.9852862910968262,0.9569541645670147,0.0,0.0,0.0,0.008364465908211702,0.0,0.0,0.9661321631797355,0.020716845079848882,0.04313327475725521,0.0
Ebacter_C65443,0.2061161618352288,0.06412625939651755,0.0,0.0,0.14558170761771258,0.0,0.0,0.08607608523068255,0.0018212811176418274,0.0,0.20486722711529384,0.0,0.13046980949807663,0.756541623353845,0.0,0.1027872306740574,0.3069989299545663,1.0758006989404258,0.0
Ebacter_C12800,0.0,0.0,0.0,0.0,0.8796031310915027,0.0,0.9725466081493285,0.9947651967227277,0.9186055568876627,0.0,0.0,0.0,0.0,0.0,0.01877579679110018,0.8710202920932604,0.0,0.013315981953628942,0.0
Ebacter_C69657,0.0,0.0,0.9967331252494354,0.0,0.9611856381628695,0.0,0.0,0.0,1.0111783525884839,0.011267049717254604,0.0,0.0,0.011873580954766183,0.0,0.004435475275666316,0.8470023310146303,0.06291061663449081,0.0,0.020891439540296656
Ebacter_C19481,0.0,0.0,1.0606485901535274,0.0,0.0,0.0,0.0,0.0,0.0,0.021827938037290856,0.010091737182740765,0.0,0.0,0.0008182418324350798,0.0,0.8909715990022986,0.0,0.0,0.1527706899647029
Ebacter_C30103,0.3244729621245779,0.0,0.8319648719330799,0.0,0.0015777276853151652,0.04802558611788184,0.0,0.0,0.9603770072214837,0.9780179241671617,0.03056857071273464,0.0,0.07520687411473322,0.9980167072658681,0.0033038663217494807,0.991666667840652,0.976081183885551,0.3106693059460609,0.410943280458323
Ebacter_C88263,0.0,0.0,0.0,0.0011355645743195972,0.9359840062113735,0.0,0.21129272091012546,0.0036143681672403446,0.0,0.0,0.0,0.0008806263642543889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
